Activity Index,Element Type,Question Type,Link,Text,Question,Groups,Values,Key
0,Instruction,,,Do the preparation task first. Then listen to the audio and do the exercises.,,,,
0,Preparation,Matching,,,Put the sentence in the correct group:,"Urgent
Not Urgent","Take your time
It's important to do it now
There's no hurry
This is a priority","2,4
1,3"
0,Audio,,https://drive.google.com/file/d/1-xKAWFFkjUD0_dFs-CF_v5qi5cUsOY88/view?usp=share_link,,,,,
0,Transcript,,,"Susanne: Hi, Mario. Can you help me prepare some things for the next month?

Mario: OK, sure. What can I help you with?

Susanne: I need to visit the customer in Germany. It's important.

Mario: What can I do to help?

Susanne: Can you send an email to the customer? Ask them when I can visit them next week. Please do this first. It's a priority and very urgent.

Mario: Right. I'll do it today.

Susanne: Thanks. This next task is also important. Can you invite everyone to the next team meeting?

Mario: Yes, I will.

Susanne: But first you need to book a meeting room. After that, please send everyone an email about it.

Mario: Yes, of course.

Susanne: And finally, can you write a short report about our new project? I have to give a presentation to our managers next month. Please do it when you have time – sometime in the next two or three weeks. It's not too urgent.

Mario: Sure, no problem. I can do it this week.

Susanne: There's no hurry. Take your time.",,,,
0,Task 1,Matching,,,Match the beginnings and endings of the phrase,"the customer
a meeting room
a report
a presentation
to the meeting
to the customer","send an email
reserve
visit
invite people
write
give","3
2
5
6
4
1"
0,Task 2,Ordering,,,Put the tasks in order of priority,,"Visit the customer
Invite people to the meeting
Send Email to the customer
Reserve a meeting room","2,4,1,3"
1,Instruction,,,Do the preparation task first. Then listen to the audio and do the exercises.,,,,
1,Preparation,Matching,,,Match the words or symbols with the definitions.,"someone you work with
things a company makes and sells
a place where people work at desks
a small book with information about a product
the amount of money you pay for something
at
hyphen (or 'dash')
underscore","_
an office
@
the price
a brochure
a colleague
-
products","6
8
2
5
4
3
7
1"
1,Audio,,https://drive.google.com/file/d/1uB6-tMIU8yNqF3KUzOb82PTnInH1VRhS/view?usp=sharing,,,,,
1,Transcript,,,"John: Hi, this is John. Thanks for calling. I'm not here at the moment, so please leave a message and I'll call you back.

Marina: Hi, John, this is Marina Silva calling from Old Time Toys. Your colleague Alex gave me your phone number. She said you can help me.

I need some information on your new products. Could you please call me when you are back in the office? My phone number is 0-2-0-8, 6-5-5-7-6-2-1.

Also, can you please email me your new brochure and information about your prices? My email address is Marina, that's M-A-R-I-N-A, dot Silva, S-I-L-V-A, at O-L-D-T-I-M-E hyphen toys dot com.

Thanks a lot. I look forward to hearing from you.",,,,
1,Task 1,MCQ,,,"Choose the correct answer.

John works at Old Time Toys.",,"Yes
No",2
1,Task 1,MCQ,,,"Choose the correct answer.

Marina wants ...",,"product information, a brochure and prices.
to call John again later.",1
1,Task 1,MCQ,,,"Choose the correct answer.

Marina's number is ...",,"0208 6557621
0208 6656721",1
1,Task 1,MCQ,,,"Choose the correct answer.

Marina's email address is ...",,"marina.silva@oldtime_toys.com
marina.silva@oldtime-toys.com",2
