,Name,Description,Tags
0,Basic Structure of an HTML Document,"Objective: Understand the basic structure of an HTML document.
	- Creating the HTML Skeleton
		- Create a new HTML file named basic-structure.html.
		- Define the basic structure of an HTML document, including <!DOCTYPE html>, <html>, <head>, <title>, and <body> tags.
	- Adding Metadata
		- Inside the <head> tag, add a <meta> tag with the charset attribute set to ""UTF-8"".
	- Setting the Title
		- Inside the <head> tag, add a <title> tag.
		- Set the title to ""Basic HTML Structure"".
	- Adding Content to the Body
		- Inside the <body> tag, add an <h1> tag with the content ""Welcome to My HTML Document"".
		- Below the <h1> tag, add a <p> tag with the content ""This document demonstrates the basic structure of an HTML page."".","['HTML Introduction', 'HTML']"
1,Using Elementary Tags,"Objective: Learn how to use basic HTML tags.
	- Headings and Paragraphs
		- Create a new HTML file named elementary-tags.html.
		- Define the basic structure of an HTML document.
		- Inside the <body> tag, add <h1> to <h6> tags with different content for each heading level.
		- Add a <p> tag below each heading with content describing that heading.
	- Adding Line Breaks and Horizontal Lines
		- Below the paragraph tags, add a <br> tag.
		- Add another paragraph with the content ""This is a new line after a break."".
		- Below this paragraph, add an <hr> tag.
	- Inserting Images
		- Below the horizontal line, add an <img> tag with the src attribute set to the URL of an image and the alt attribute set to ""Sample Image"".
	- Creating Links
		- Below the image, add an <a> tag with the href attribute set to ""https://www.example.com"" and the content ""Visit Example"".","['Basic HTML Tags', 'HTML']"
2,Block vs. Inline Tags,"Objective: Understand the difference between block-level and inline-level tags.
	- Using Block-Level Tags
		- Create a new HTML file named block-vs-inline.html.
		- Define the basic structure of an HTML document.
		- Inside the <body> tag, add three <div> tags with the content ""Block 1"", ""Block 2"", and ""Block 3"".
	- Using Inline-Level Tags
		- Below the block-level tags, add a <p> tag with the content ""This is an example of using "" followed by three <span> tags with the content ""inline "", ""elements "", and ""in a paragraph"".
	- Mixing Block and Inline Tags
		- Below the inline-level tags, add a <div> tag.
		- Inside the <div> tag, add a <p> tag with the content ""This is a block-level element containing an inline "" followed by a <span> tag with the content ""element"".
	- Observing Display Differences
		- Add CSS styles to differentiate block and inline elements.
		- Inside the <head> tag, add a <style> tag.
		- Add styles to give a border to <div> and <span> tags to visualize their differences.
		- Set the div border to ""1px solid black"" and span border to ""1px dotted red"".","['Basic HTML Tags', 'HTML']"
3,Using Formatting Tags,"Objective: Understand how to use basic formatting tags.
	- Using Bold and Italic Tags
		- Create a new HTML file named formatting-tags.html.
		- Define the basic structure of an HTML document.
		- Inside the <body> tag, add a <h2> tag with the content ""Formatting Tags"".
		- Below the <h2> tag, add a <p> tag with the content ""This is an example of using "" followed by a <b> tag with the content ""bold"" and a <i> tag with the content ""italic"".
	- Using the Underline Tag
		- Below the previous <p> tag, add another <p> tag with the content ""This text is "" followed by a <u> tag with the content ""underlined"".
	- Using the Strikethrough Tag
		- Below the previous <p> tag, add another <p> tag with the content ""This text has "" followed by a <s> tag with the content ""strikethrough"".
	- Combining Formatting Tags
		- Below the previous <p> tag, add another <p> tag.
		- Use a combination of <b>, <i>, <u>, and <s> tags to format the text ""This is bold, italic, underlined, and strikethrough"".","['Basic HTML Tags', 'HTML']"
4,Creating Lists,"Objective: Understand how to create and use ordered and unordered lists.
	- Creating an Unordered List
		- Create a new HTML file named lists.html.
		- Define the basic structure of an HTML document.
		- Inside the <body> tag, add a <h2> tag with the content ""Unordered List"".
		- Below the <h2> tag, add a <ul> tag.
		- Inside the <ul> tag, add three <li> tags with the content ""Item 1"", ""Item 2"", and ""Item 3"".
	- Creating an Ordered List
		- Below the unordered list, add a <h2> tag with the content ""Ordered List"".
		- Below the <h2> tag, add an <ol> tag.
		- Inside the <ol> tag, add three <li> tags with the content ""First"", ""Second"", and ""Third"".
	- Creating a Description List
		- Below the ordered list, add a <h2> tag with the content ""Description List"".
		- Below the <h2> tag, add a <dl> tag.
		- Inside the <dl> tag, add three <dt> tags with the content ""Term 1"", ""Term 2"", and ""Term 3"".
		- Add a <dd> tag below each <dt> tag with the description ""Description for Term 1"", ""Description for Term 2"", and ""Description for Term 3"".
	- Nesting Lists
		- Inside one of the <li> tags in the unordered list, add another <ul> tag.
		- Inside this nested <ul> tag, add two <li> tags with the content ""Subitem 1"" and ""Subitem 2"".","['Basic HTML Tags', 'HTML']"
5,Creating Forms,"Objective: Learn how to create and use HTML forms.
	- Creating a Basic Form
		- Create a new HTML file named forms.html.
		- Define the basic structure of an HTML document.
		- Inside the <body> tag, add a <h2> tag with the content ""Basic Form"".
		- Below the <h2> tag, add a <form> tag with the action attribute set to ""#"" and the method attribute set to ""post"".
	- Adding Input Fields
		- Inside the <form> tag, add a <label> tag with the content ""Name:"".
		- Below the <label> tag, add an <input> tag with the type attribute set to ""text"" and the name attribute set to ""name"".
		- Add a <br> tag for line break.
		- Add another <label> tag with the content ""Email:"".
		- Below the <label> tag, add an <input> tag with the type attribute set to ""email"" and the name attribute set to ""email"".
	- Adding a Submit Button
		- Below the email input field, add a <button> tag with the type attribute set to ""submit"" and the content ""Submit"".
	- Adding a Textarea
		- Inside the <form> tag, below the email input field, add a <label> tag with the content ""Message:"".
		- Below the <label> tag, add a <textarea> tag with the name attribute set to ""message"" and set the rows attribute to ""4"" and the cols attribute to ""50"".","['Forms', 'HTML']"
6,Creating a Contact Form,"Objective: Learn how to use various input types in an HTML form.
	- Creating the Contact Form
		- Create a new HTML file named contact-form.html.
		- Define the basic structure of an HTML document.
		- Inside the <body> tag, add a <h2> tag with the content ""Contact Form"".
		- Below the <h2> tag, add a <form> tag with the action attribute set to ""#"" and the method attribute set to ""post"".
	- Adding Text and Email Input Fields
		- Inside the <form> tag, add a <label> tag with the content ""Full Name:"".
		- Below the <label> tag, add an <input> tag with the type attribute set to ""text"" and the name attribute set to ""fullname"".
		- Add a <br> tag for line break.
		- Add another <label> tag with the content ""Email Address:"".
		- Below the <label> tag, add an <input> tag with the type attribute set to ""email"" and the name attribute set to ""email"".
	- Adding Radio Buttons and Checkboxes
		- Below the email input field, add a <label> tag with the content ""Gender:"".
		- Below the <label> tag, add a <input> tag with the type attribute set to ""radio"" and the name attribute set to ""gender"" and the value set to ""male"". Add a label with the content ""Male"".
		- Add another <input> tag with the type attribute set to ""radio"" and the name attribute set to ""gender"" and the value set to ""female"". Add a label with the content ""Female"".
		- Below the radio buttons, add a <label> tag with the content ""Subscribe to Newsletter:"".
		- Below the <label> tag, add an <input> tag with the type attribute set to ""checkbox"" and the name attribute set to ""newsletter"".
	- Adding a Submit Button
		- Below the checkbox, add a <button> tag with the type attribute set to ""submit"" and the content ""Submit"".","['Forms', 'HTML']"
7,Project: Personal Portfolio,"Project Structure: Create an HTML page named index.html to include the following:
	- Homepage
		- Basic page structure with <html>, <head>, and <body> tags.
		- <title> tag: ""Personal Portfolio""
		- Header section with a <h1> tag: ""Welcome to My Portfolio""
		- Navigation menu with links to ""About Me"", ""Projects"", and ""Contact"" sections using <a> tags.
	- About Me Section
		- Add an <h2> tag: ""About Me""
		- Add a <p> tag with a brief introduction about yourself.
		- Include an <img> tag with your photo and a brief description using the alt attribute.
	- Projects Section
		- Add an <h2> tag: ""Projects""
		- Create an unordered list (<ul>) with list items (<li>) to display your projects.
		- Each project should have a title using <h3>, a brief description using <p>, and a link using <a> to the project's repository or live demo.
	- Contact Section
		- Add an <h2> tag: ""Contact""
		- Create a contact form using <form>, <label>, <input>, and <textarea> tags.
		- Include fields for ""Name"", ""Email"", and ""Message"", and a submit button using <button>.","['Projects', 'HTML']"
8,Project: Simple Blog,"Project Structure:
	- Homepage
		- Basic page structure with <html>, <head>, and <body> tags.
		- <title> tag: ""Simple Blog""
		- Header section with a <h1> tag: ""My Blog""
		- Navigation menu with links to ""Home"", ""Blog Posts"", and ""About"" sections using <a> tags.
	- Home Section
		- Add a <section> with the id attribute set to ""home"".
		- Inside the section, add a <h2> tag: ""Welcome to My Blog""
		- Add a <p> tag with a brief introduction to your blog.
	- Blog Posts Section
		- Add a <section> with the id attribute set to ""posts"".
		- Inside the section, add a <h2> tag: ""Blog Posts""
		- Create a series of blog posts using <article> tags. Each post should have a <h3> for the title, a <p> for the content, and a <footer> for the author and date.
	- About Section
		- Add a <section> with the id attribute set to ""about"".
		- Inside the section, add a <h2> tag: ""About Me""
		- Add a <p> tag with a brief description about yourself and the purpose of the blog.
	- Comments Section
		- Below each blog post, add a comments section using a <form> for users to submit comments.
		- The form should include fields for ""Name"", ""Email"", and ""Comment"", and a submit button.","['Projects', 'HTML']"
9,Styling a Personal Profile,"Objective: Learn to use basic CSS selectors.
	- Basic Structure and Linking CSS
		- Create a new HTML file named profile.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named profile.css.
		- Link the CSS file to the HTML file inside the <head> tag using the <link> tag.
	- Styling by Element Selector
		- Add a <h1> tag with the content ""John Doe"".
		- Add a <p> tag with a brief introduction.
		- In the CSS file, use the element selector to style the <h1> tag with a different font size and color.
		- Style the <p> tag with a different font size and line height.
	- Styling by Class Selector
		- Add a section with the class name ""about-me"".
		- Inside this section, add a <h2> tag with the content ""About Me"".
		- Add another <p> tag with more detailed information.
		- In the CSS file, use the class selector to style the ""about-me"" section with padding and background color.
	- Styling by ID Selector
		- Add an image of John Doe with the ID ""profile-pic"".
		- In the CSS file, use the ID selector to set the width and border radius of the image.","['CSS', 'Selectors']"
